Driver,h0_exp,R2_exp,RMSE_exp,logL_exp,AIC_exp,BIC_exp,a_lin,R2_lin,RMSE_lin,logL_lin,AIC_lin,BIC_lin,Age,Gender,DayNight,dRMSE,dAIC,dBIC,winner_AIC,AIC_strength
33,9.86202203396915,-0.66254051031387,0.224963579598751,153.335785663314,-304.671571326629,-299.019975752771,-0.0715871118224923,-0.949351704507343,0.243596585646902,-14.0900119325979,30.1800238651958,35.8316194390534,A,F,N,0.0186330060481502,334.851595191825,334.851595191824,exp,>10 (strong)
34,6.41367386011355,-0.77808342958536,0.252132249208847,-107.490987593175,216.981975186349,222.85022945187,-0.101626878565919,-1.18183809697366,0.279295276618806,-374.842206988705,751.68441397741,757.55266824293,A,F,N,0.027163027409959,534.702438791061,534.70243879106,exp,>10 (strong)
35,7.45352365597072,-0.624673420934285,0.23065362702204,139.866863177044,-277.733726354088,-271.754387458825,-0.0992558985273944,-0.803539166116766,0.243018893683236,-12.6215432644365,27.2430865288729,33.2224254241353,A,F,N,0.0123652666611962,304.976812882961,304.976812882961,exp,>10 (strong)
36,5.05706394523131,-0.554469223204125,0.218458315615373,333.855499531103,-665.710999062207,-659.619677788677,-0.112213716321332,-1.19990279104214,0.259883832207125,-233.251142897163,468.502285794326,474.593607067857,A,F,N,0.0414255165917517,1134.21328485653,1134.21328485653,exp,>10 (strong)
37,5.3900768846536,-0.750232179863315,0.208729911142551,409.634020649566,-817.268041299133,-811.340716938823,-0.114713725321853,-1.35290666474423,0.242013284581392,-0.487522276109423,2.97504455221885,8.90236891252864,B,F,N,0.0332833734388413,820.243085851351,820.243085851352,exp,>10 (strong)
38,3.70330502755283,-0.54232815224076,0.163483992521867,1965.6056481399,-3929.21129627981,-3922.69150646254,-0.151604007296455,-2.13871284337455,0.233218304982541,184.687941406549,-367.375882813099,-360.856092995835,B,F,N,0.0697343124606747,3561.83541346671,3561.83541346671,exp,>10 (strong)
39,2.46413746547919,-1.20459989677268,0.192500693002815,980.052310897744,-1958.10462179549,-1951.74174596446,-0.157154789164768,-4.55241839305032,0.305498089083491,-998.948242739161,1999.89648547832,2006.25936130935,B,F,N,0.112997396080675,3958.00110727381,3958.00110727381,exp,>10 (strong)
40,2.87136541231996,-0.985281516977944,0.192865659802253,438.902238817146,-875.804477634293,-870.236615028829,-0.176499326335053,-2.84453426345734,0.268389626275754,-200.510521125818,403.021042251635,408.588904857099,B,F,N,0.0755239664735005,1278.82551988593,1278.82551988593,exp,>10 (strong)
41,9.93294381834192,-0.635593636013757,0.177288729103736,911.649752858107,-1821.29950571621,-1815.3164067755,-0.0762591395839249,-0.833969336760277,0.187732496634606,743.883950010122,-1485.76790002024,-1479.78480107953,A,M,N,0.0104437675308701,335.531605695971,335.531605695971,exp,>10 (strong)
42,7.08138209222157,-0.606668834595973,0.217644983251614,204.486448380595,-406.97289676119,-401.407621479291,-0.0890652400737507,-1.02389123848586,0.244275022217519,-18.2925110612627,38.5850221225253,44.1502974044243,A,M,N,0.0266300389659049,445.557918883715,445.557918883715,exp,>10 (strong)
43,4.11802377573713,-0.975143099994687,0.218881540399032,275.786702747228,-549.573405494456,-543.654049303795,-0.123533375020066,-2.30374460370896,0.283082542043892,-431.534887681009,865.069775362018,870.989131552679,A,M,N,0.0642010016448594,1414.64318085647,1414.64318085647,exp,>10 (strong)
44,6.82333944357175,-1.7416108322101,0.289020781199972,-208.953852090937,419.907704181874,424.977578310333,-0.0814926016881501,-2.52597489464347,0.327767414075448,-356.901308991008,715.802617982016,720.872492110475,A,M,N,0.0387466328754759,295.894913800142,295.894913800142,exp,>10 (strong)
45,4.70402770924111,-1.10884066987919,0.231876483319312,172.791316832678,-343.582633665355,-337.274927698806,-0.107822526582526,-2.39767090677585,0.294323864115924,-794.228495241337,1590.45699048267,1596.76469644922,B,M,N,0.0624473807966122,1934.03962414803,1934.03962414803,exp,>10 (strong)
46,4.48351140571342,-1.6916716078153,0.17410055894683,1751.25722290237,-3500.51444580474,-3493.93521722241,-0.133809536125343,-3.46961172694535,0.224348942909268,402.267145848263,-802.534291696527,-795.955063114191,B,M,N,0.0502483839624386,2697.98015410822,2697.98015410822,exp,>10 (strong)
47,2.51687542148589,-0.251299658232064,0.133923179561896,1627.94669273612,-3253.89338547225,-3247.97330227319,-0.176183712232608,-2.75952077295396,0.232135378028701,114.197042390387,-226.394084780774,-220.474001581721,A,F,N,0.0982121984668048,3027.49930069147,3027.49930069147,exp,>10 (strong)
48,3.3080342157648,-0.156876577662126,0.301336538657576,-292.913635642383,587.827271284766,593.0239578556,-0.143198100984938,-0.49503086002812,0.342557404885742,-464.076042020843,930.152084041687,935.348770612521,A,F,N,0.0412208662281664,342.324812756921,342.324812756921,exp,>10 (strong)
49,5.14052315791413,0.330842306438323,0.145143610312652,2035.68372786509,-4069.36745573017,-4063.07766514699,-0.127058379761429,0.0995997878952213,0.168364869510315,1444.56750062028,-2887.13500124056,-2880.84521065738,A,F,N,0.0232212591976626,1182.23245448961,1182.23245448961,exp,>10 (strong)
50,8.95635005753997,-0.494258312347598,0.237055267256705,39.1381936956157,-76.2763873912313,-70.7231007856309,-0.0767501157046282,-0.756047439135524,0.256983293893716,-114.790592459428,231.581184918856,237.134471524457,A,F,N,0.019928026637011,307.857572310087,307.857572310087,exp,>10 (strong)
51,3.43567985691502,0.297146936723507,0.122073327804437,2370.7350998918,-4739.4701997836,-4733.31973187198,-0.165170259283917,-0.433613201428472,0.174342997538122,1135.79975369326,-2269.59950738652,-2263.4490394749,A,F,N,0.0522696697336855,2469.87069239708,2469.87069239708,exp,>10 (strong)
52,3.40621165438448,-0.377925717010813,0.194688567741234,787.261715333027,-1572.52343066605,-1566.32892515629,-0.137982621180807,-1.72471729266546,0.273771522606265,-447.11077338655,896.2215467731,902.416052282865,B,F,N,0.0790829548650311,2468.74497743915,2468.74497743915,exp,>10 (strong)
53,8.73388771032151,-0.571841247678284,0.21384700182908,374.127359596067,-746.254719192134,-740.239061577577,-0.0849935519612623,-0.7538667192475,0.225890058941394,208.230502418464,-414.461004836929,-408.445347222372,B,F,N,0.0120430571123132,331.793714355205,331.793714355205,exp,>10 (strong)
